trayID,species,spID,I,n,trayID_consec,day,planter,plate,domeID,side,x,x1,y,temp_PM,temp_AM,richness,SD,shannon,n_allP,n_allP.na,I_all,n_radish,n_arugula,n_basil,n_red_rom,n_green_rom,n_butter,I_radish,I_arugula,I_basil,I_red_rom,I_green_rom,I_butter,notes,n_others,n_others2,temp_PM_z,richness_z,n_others_z,n_others2_z,n_allP.na_z,n_radish_zsq,n_arugula_zsq,n_basil_zsq,n_red_rom_zsq,n_green_rom_zsq,n_butter_zsq,n_radish_p,n_arugula_p,n_basil_p,n_red_rom_p,n_green_rom_p,n_butter_p
16,butter,6,0,72,15,3,KF,8,85,R,4,4.3,10,22.9,25,1,0.5,-0,85,84,11,0,0,0,0,0,84,0,0,0,0,0,11,NA,84,84,-0.7512241628896446,-0.5202291196081568,-0.3969776937976383,-0.12153206340176291,-1.1055669926081717,-0.6746551409302689,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,0.814920407876863,0,0,0,0,0,1
18,arugula,2,1,72,16,1,CE,3,30,R,3,3.3,4,27,23.8,1,0.5,-0,85,84,13,0,84,0,0,0,0,0,13,0,0,0,0,NA,84,0,0.4787694396370481,-0.5202291196081568,-0.3969776937976383,-0.6127213033294283,-1.1055669926081717,-0.6746551409302689,0.47300025400407764,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0,1,0,0,0,0
19,basil,3,3,73,17,2,CE,5,87,R,6,6.3,10,22.3,24.7,1,0.5,-0,85,85,14,0,0,85,0,0,0,0,0,14,0,0,0,NA,85,85,-0.9312232266740379,-0.5202291196081568,-0.3908922446143666,-0.11568457245024308,-1.0971862870608715,-0.6746551409302689,-0.6102721561599711,0.7115742308438855,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0,0,1,0,0,0
20,red_rom,4,0,73,18,3,KF,9,23,L,5,5,3,27,23.2,1,0.5,-0,85,85,12,0,0,0,85,0,0,0,0,0,12,0,0,NA,85,85,0.4787694396370481,-0.5202291196081568,-0.3908922446143666,-0.11568457245024308,-1.0971862870608715,-0.6746551409302689,-0.6102721561599711,-0.42973116344007867,0.7131574685370335,-0.3561175935032453,-0.34295888379045403,0,0,0,1,0,0
21,radish,1,224,224,19,1,CE,2,75,L,3,3,9,24.2,24.5,1,0.5,-0,238,236,236,236,0,0,0,0,0,236,0,0,0,0,0,NA,0,0,-0.3612261913567907,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,0.168300250581455,0.9034557625042718,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
22,radish,1,223,223,20,2,CT,6,18,R,9,9.3,2,27.6,23.9,1,0.5,-0,238,235,235,235,0,0,0,0,0,235,0,0,0,0,0,NA,0,0,0.6587685034214426,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,0.15991954503415481,0.900108757880776,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
23,radish,1,190,226,21,3,CT,8,29,R,2,2.3,4,27,24,1,0.5,-0,238,238,202,238,0,0,0,0,0,202,0,0,0,0,0,PHOTO,0,0,0.4787694396370481,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,0.18506166167605534,0.9101285656429091,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
24,radish,1,223,223,22,1,CE,3,42,R,6,6.3,5,26.9,24.5,1,0.5,-0,238,235,235,235,0,0,0,0,0,235,0,0,0,0,0,NA,0,0,0.448769595672982,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,0.15991954503415481,0.900108757880776,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
25,radish,1,222,222,23,2,CT,4,81,R,9,9.3,9,23.9,23.6,1,0.5,-0,238,234,234,234,0,0,0,0,0,234,0,0,0,0,0,NA,0,0,-0.4512257232489879,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,0.15153883948685465,0.8967546243627127,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
26,radish,1,202,224,24,3,CT,7,68,R,5,5.3,8,24.1,23,1,0.5,-0,238,236,214,236,0,0,0,0,0,214,0,0,0,0,0,NA,0,0,-0.3912260353208557,-0.5202291196081568,-0.9081554251924636,-0.6127213033294283,0.168300250581455,0.9034557625042718,-0.6102721561599711,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,1,0,0,0,0,0
