b_richnessz,.lower,.upper,.width,.point,.interval,model
0.73,0.26,1.24,0.9,median,hdci,AD
-1.34,-1.9,-0.79,0.9,median,hdci,SD
1.2,0.74,1.67,0.9,median,hdci,AS
0.49,-0.11,1.08,0.9,median,hdci,SS
